*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 23, 2026 17:32:35

*RUN   1        : No N                      WHAPS048 HWOC2501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : HWOC2501 WH
 DATA PATH      : C:/DSSAT48/Wheat/
 TREATMENT  1   : No N                      WHAPS048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2024 296     1    20683     0.00     0.00       21     0.00     0.00       76        0        0       76
 2024 297     2    20296     0.01     0.00       41     0.00     0.00      150        0        0      150
 2024 298     3    18220     0.02     0.00       59     0.00     0.00      217        0        0      217
 2024 299     4    16700     0.04     0.00       76     0.00     0.00      279        0        0      279
 2024 300     5    15700     0.06     0.00       92     0.00     0.00      336        0        0      336
 2024 301     6    14370     0.08     0.00      106     0.00     0.00      389        0        0      389
 2024 302     7    13427     0.09     0.00      119     0.00     0.00      438        0        0      438
 2024 303     8    14288     0.11     0.00      134     0.00     0.00      491        0        0      491
 2024 304     9    14893     0.13     0.00      149     0.00     0.00      545        0        0      546
 2024 305    10    14494     0.14     0.00      163     0.00     0.00      598        0        0      599
 2024 306    11    13922     0.15     0.00      177     0.00     0.00      650        0        0      650
 2024 307    12    12005     0.16     0.00      189     0.00     0.00      694        0        0      694
 2024 308    13     9997     0.17     0.00      199     0.00     0.00      730        1        0      731
 2024 309    14     7484     0.18     0.00      206     0.00     0.00      758        1        0      758
 2024 310    15     5406     0.18     0.00      212     0.00     0.00      778        1        0      778
 2024 311    16     3118     0.18     0.00      215     0.00     0.00      789        1        0      790
 2024 312    17     3080     0.18     0.00      218     0.00     0.00      800        1        0      801
 2024 313    18     2480     0.18     0.00      221     0.00     0.00      809        1        0      810
 2024 314    19     1753     0.18     0.00      222     0.00     0.00      816        1        0      817
 2024 315    20     1108     0.18     0.00      223     0.00     0.00      820        1        0      821
