*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 23, 2026 17:32:35

*RUN   1        : No N                      WHAPS048 HWOC2501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : HWOC2501 WH
 DATA PATH      : C:/DSSAT48/Wheat/
 TREATMENT  1   : No N                      WHAPS048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                                    NH4 (ppm) at soil dep. (cm):                                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-10   10-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-10   10-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-10   10-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    NT10    
 2024 295     0     0     0    55.0    49.5     5.4     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.46     1.5     1.5    1.46    1.46    1.46    1.46    1.46    1.46    1.46    0.16    0.16    0.16    0.16    0.16    0.16    0.16    0.16    0.16    0.16    1.62    1.62    1.62    1.62    1.62    1.62    1.62    1.62    1.62    1.62
 2024 296     1     0     0    55.7    50.4     5.3     0.0    0.74    0.89    0.00    0.00    0.00    0.74    0.00    0.00    0.00    1.39     1.5     1.4    1.44    1.48    1.49    1.48    1.52    1.54    1.49    0.45    0.44    0.20    0.14    0.14    0.14    0.14    0.14    0.14    0.14    1.84    1.93    1.64    1.58    1.63    1.63    1.62    1.66    1.68    1.63
 2024 297     2     0     0    56.4    51.3     5.1     0.0    1.47    1.75    0.00    0.00    0.00    1.47    0.00    0.00    0.00    1.48     1.5     1.4    1.42    1.48    1.50    1.49    1.56    1.63    1.51    0.68    0.68    0.24    0.13    0.13    0.13    0.13    0.13    0.12    0.12    2.16    2.20    1.68    1.55    1.61    1.63    1.62    1.69    1.75    1.63
 2024 298     3     0     0    57.1    52.1     5.0     0.0    2.14    2.56    0.00    0.00    0.00    2.13    0.00    0.00    0.00    1.66     1.6     1.4    1.41    1.48    1.50    1.50    1.58    1.68    1.55    0.85    0.84    0.26    0.12    0.12    0.12    0.12    0.12    0.11    0.11    2.51    2.44    1.71    1.53    1.59    1.62    1.62    1.69    1.79    1.66
 2024 299     4     0     0    57.7    52.8     4.9     0.0    2.75    3.31    0.00    0.00    0.00    2.75    0.00    0.00    0.00    1.85     1.7     1.5    1.40    1.47    1.50    1.50    1.59    1.71    1.61    0.97    0.97    0.28    0.11    0.11    0.11    0.11    0.11    0.10    0.10    2.82    2.65    1.75    1.51    1.58    1.61    1.61    1.69    1.81    1.71
 2024 300     5     0     0    58.3    53.5     4.7     0.0    3.33    4.01    0.00    0.00    0.00    3.33    0.00    0.00    0.00    2.10     1.8     1.5    1.39    1.46    1.49    1.49    1.58    1.72    1.67    1.06    1.06    0.30    0.10    0.10    0.10    0.10    0.10    0.09    0.09    3.17    2.86    1.79    1.50    1.56    1.59    1.59    1.68    1.82    1.75
 2024 301     6     0     0    58.8    54.2     4.6     0.0    3.87    4.68    0.01    0.00    0.00    3.87    0.00    0.00    0.00    2.40     1.9     1.5    1.39    1.45    1.48    1.48    1.58    1.73    1.72    1.13    1.13    0.31    0.10    0.10    0.10    0.10    0.09    0.09    0.08    3.52    3.03    1.83    1.49    1.55    1.58    1.58    1.67    1.82    1.80
 2024 302     7     0     0    59.3    54.8     4.5     0.0    4.38    5.32    0.01    0.00    0.00    4.38    0.00    0.00    0.00    2.65     2.0     1.6    1.40    1.45    1.48    1.48    1.57    1.74    1.76    1.17    1.17    0.31    0.09    0.09    0.09    0.09    0.09    0.08    0.07    3.81    3.20    1.87    1.49    1.54    1.57    1.57    1.66    1.82    1.84
 2024 303     8     0     0    59.7    55.3     4.3     0.0    4.92    5.95    0.01    0.00    0.00    4.92    0.17    0.00    0.00    2.86     2.1     1.6    1.41    1.46    1.47    1.47    1.57    1.74    1.79    1.16    1.21    0.32    0.09    0.09    0.09    0.09    0.08    0.08    0.07    4.03    3.33    1.90    1.50    1.54    1.56    1.56    1.65    1.82    1.86
 2024 304     9     0     0    59.9    55.7     4.2     0.0    5.50    6.57    0.01    0.00    0.00    5.50    0.50    0.00    0.00    2.99     2.2     1.6    1.41    1.46    1.48    1.47    1.56    1.74    1.80    1.12    1.23    0.33    0.09    0.08    0.08    0.09    0.08    0.08    0.06    4.11    3.42    1.94    1.50    1.55    1.57    1.55    1.64    1.82    1.86
